Index,UID,Term,alias_1,alias_2,alias_3,alias_4,alias_5,Definition,Title,Author,Year,Link,Combined,Annotations,text,categories_1,categories_2,categories_3
23,murphy_0023,Alum,,,,,,"a complex salt, the base of which is alumina. the form used by finishers and dyers is the double sulphate of aluminium and ammonia.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Alum: a complex salt, the base of which is alumina. the form used by finishers and dyers is the double sulphate of aluminium and ammonia.",chemicals,"Alum: a complex salt, the base of which is alumina. the form used by finishers and dyers is the double sulphate of aluminium and ammonia.",chemicals,dyes,
24,murphy_0024,Aluming,,,,,,treating cloths to be dyed with acetate of alumina as a mordant.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Aluming: treating cloths to be dyed with acetate of alumina as a mordant.,manufacturing processes,Aluming: treating cloths to be dyed with acetate of alumina as a mordant.,manufacturing processes,,
25,murphy_0025,Ammonia,,,,,,"the hydroxide of ammonia, obtained as a by-product in gas-making.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Ammonia: the hydroxide of ammonia, obtained as a by-product in gas-making.",chemicals,"Ammonia: the hydroxide of ammonia, obtained as a by-product in gas-making.",chemicals,,
26,murphy_0026,Ammonium Carbonate,,,,,,a compound of ammonia sometimes used as a wool-scouring agent.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Ammonium Carbonate: a compound of ammonia sometimes used as a wool-scouring agent.,chemicals,Ammonium Carbonate: a compound of ammonia sometimes used as a wool-scouring agent.,chemicals,,
27,murphy_0027,Amylum,,,,,,the principle of starch.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Amylum: the principle of starch.,chemicals,Amylum: the principle of starch.,chemicals,,
28,murphy_0028,Angle,,,,,,the slant of a twill.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Angle: the slant of a twill.,units of measurement,Angle: the slant of a twill.,weaves,,
29,murphy_0029,Angle-Stripper,,,,,,a carding roller which draws the wool from the licker-in and transfers it to the cylinder of the scribbler.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Angle-Stripper: a carding roller which draws the wool from the licker-in and transfers it to the cylinder of the scribbler.,textile machinery,Angle-Stripper: a carding roller which draws the wool from the licker-in and transfers it to the cylinder of the scribbler.,textile machinery,,
30,murphy_0030,Angora,,,,,,"the goat reared originally in the vilayet of angora, in asia minor, but now bred in cape colony and elsewhere, valued for its long, silky wool ; the wool of the angora, otherwise called mohair.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Angora: the goat reared originally in the vilayet of angora, in asia minor, but now bred in cape colony and elsewhere, valued for its long, silky wool ; the wool of the angora, otherwise called mohair.",textile fibres,"Angora: the goat reared originally in the vilayet of angora, in asia minor, but now bred in cape colony and elsewhere, valued for its long, silky wool ; the wool of the angora, otherwise called mohair.",textile fibres,,
31,murphy_0031,Aniline,,,,,,the basis of many dyes derived from coal tar. aniline itself is a colourless oil prepared from benzene ; it unites with acids to form colour salts.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Aniline: the basis of many dyes derived from coal tar. aniline itself is a colourless oil prepared from benzene ; it unites with acids to form colour salts.,"chemicals, dyes",Aniline: the basis of many dyes derived from coal tar. aniline itself is a colourless oil prepared from benzene ; it unites with acids to form colour salts.,dyes,,
32,murphy_0032,Annatto,,,,,,"the reddish dye obtained from the pulp enveloping the seeds of the annattu tree, native to tropical america; it is variously named arnotto, arnatto, annotto, &c.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Annatto: the reddish dye obtained from the pulp enveloping the seeds of the annattu tree, native to tropical america; it is variously named arnotto, arnatto, annotto, &c.","chemicals, dyes","Annatto: the reddish dye obtained from the pulp enveloping the seeds of the annattu tree, native to tropical america; it is variously named arnotto, arnatto, annotto, &c.",dyes,,
33,murphy_0033,Antherea,,,,,,"a genus of moths belonging to the bombyx family, and silk-producing; the leading varieties are: a. paphia or tusseh, a. mylitta, a. pernyi, a. niiiga or assama, a. 7neza7tkoorie, a. roylei.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Antherea: a genus of moths belonging to the bombyx family, and silk-producing",textile fibres,"Antherea: a genus of moths belonging to the bombyx family, and silk-producing",unknown,,
34,murphy_0034,Anthracene,,,,,,"the green grease obtained from the third distillate of coal tar, which is the base of alizarine colours.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Anthracene: the green grease obtained from the third distillate of coal tar, which is the base of alizarine colours.",chemicals,"Anthracene: the green grease obtained from the third distillate of coal tar, which is the base of alizarine colours.",chemicals,dyes,
35,murphy_0035,Anti-Ballooning,,,,,,appliances acting so as to prevent the yarn flying out between the front drawing rollers and the bobbins on spinning frames.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Anti-Ballooning: appliances acting so as to prevent the yarn flying out between the front drawing rollers and the bobbins on spinning frames.,textile machinery,Anti-Ballooning: appliances acting so as to prevent the yarn flying out between the front drawing rollers and the bobbins on spinning frames.,textile machinery,,
36,murphy_0036,Anti-Friction Bowls,,,,,,small rollers fitted into levers on many textile machines to reduce friction.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Anti-Friction Bowls: small rollers fitted into levers on many textile machines to reduce friction.,textile machinery,Anti-Friction Bowls: small rollers fitted into levers on many textile machines to reduce friction.,textile machinery,,
37,murphy_0037,Aoudad,,,,,,"the bearded argali, a wild sheep bred in the atlas mountains.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Aoudad: the bearded argali, a wild sheep bred in the atlas mountains.",textile fibres,"Aoudad: the bearded argali, a wild sheep bred in the atlas mountains.",unknown,,
38,murphy_0038,Argali,,,,,,"the gigantic siberian wild sheep, capable of domestication, and yielding a fine, hairy wool.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Argali: the gigantic siberian wild sheep, capable of domestication, and yielding a fine, hairy wool.",textile fibres,"Argali: the gigantic siberian wild sheep, capable of domestication, and yielding a fine, hairy wool.",textile fibres,,
39,murphy_0039,Armozeen,,,,,,"a stout black silk, used chiefly for hatbands.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Armozeen: a stout black silk, used chiefly for hatbands.",textile fabrics,"Armozeen: a stout black silk, used chiefly for hatbands.",textile fabrics,,
40,murphy_0040,Artificial Silk,,,,,,"a substitute for natural silk, obtained by treating cellulose, obtained from any source, usually cotton waste or wood pulp, by various processes, the chief object of which is to impregnate the cellulose with nitrogen.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Artificial Silk: a substitute for natural silk, obtained by treating cellulose, obtained from any source, usually cotton waste or wood pulp, by various processes, the chief object of which is to impregnate the cellulose with nitrogen.",textile fabrics,"Artificial Silk: a substitute for natural silk, obtained by treating cellulose, obtained from any source, usually cotton waste or wood pulp, by various processes, the chief object of which is to impregnate the cellulose with nitrogen.",textile fibres,,
41,murphy_0041,Art Square,,,,,,a tapestry or scotch carpet woven in one piece to form a square in the centre of a room.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Art Square: a tapestry or scotch carpet woven in one piece to form a square in the centre of a room.,textile fabrics,Art Square: a tapestry or scotch carpet woven in one piece to form a square in the centre of a room.,textile fabrics,,
42,murphy_0042,Asbestos,,,,,,"a fibrous mineral allied to hornblende, and closely resembling flax in appearance ; valued because of its incombustible quality.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Asbestos: a fibrous mineral allied to hornblende, and closely resembling flax in appearance ; valued because of its incombustible quality.",textile fibres,"Asbestos: a fibrous mineral allied to hornblende, and closely resembling flax in appearance ; valued because of its incombustible quality.",textile fibres,,
43,murphy_0043,Assouplage,,,,,,the french term for the process by which souple silk is produced.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Assouplage: the french term for the process by which souple silk is produced.,manufacturing processes,Assouplage: the french term for the process by which souple silk is produced.,manufacturing processes,,
44,murphy_0044,Astrakhan,,,,,,a warp-pile worsted fabric woven in imitation of the curling wool of the astrakhan sheep.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Astrakhan: a warp-pile worsted fabric woven in imitation of the curling wool of the astrakhan sheep.,textile fabrics,Astrakhan: a warp-pile worsted fabric woven in imitation of the curling wool of the astrakhan sheep.,textile fabrics,,
45,murphy_0045,Astringents,,,,,,"various kinds of tannic acids, used as agents in dyeing textile fibres.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Astringents: various kinds of tannic acids, used as agents in dyeing textile fibres.",chemicals,"Astringents: various kinds of tannic acids, used as agents in dyeing textile fibres.",chemicals,dyes,
46,murphy_0046,Atlas,,,,,,"a rich silk fabric woven in india ; the attacus atlas, the largest of silk moths, producing a silk of great strength and weight.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Atlas: a rich silk fabric woven in india ; the attacus atlas, the largest of silk moths, producing a silk of great strength and weight.",textile fabrics,"Atlas: a rich silk fabric woven in india ; the attacus atlas, the largest of silk moths, producing a silk of great strength and weight.",textile fabrics,,
47,murphy_0047,Attacus,,,,,,"a genus of silk moths, formerly regarded as a class of wild silks ; the genus includes the a. ricini, or eria, a. cynthia, or ailanthus, a. atlas, and a, selene, axminster, the knotted pile carpet of british make, tufted by hand and woven on the hand loom.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Attacus: a genus of silk moths, formerly regarded as a class of wild silks ; the genus includes the a. ricini, or eria, a. cynthia, or ailanthus, a. atlas, and a, selene,",textile fibres,"Attacus: a genus of silk moths, formerly regarded as a class of wild silks ; the genus includes the a. ricini, or eria, a. cynthia, or ailanthus, a. atlas, and a, selene,",textile fibres,,
