Index,UID,Term,alias_1,alias_2,alias_3,alias_4,alias_5,Definition,categories_1,categories_2,categories_3,Author,Title,Year,Link
11,murphy_0011,acid,,,,,,a substance capable of uniting with bases to form salts by the substitution of its hydrogen by the base.,textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
12,murphy_0012,acid colours,,,,,,"a class of coal-tar colours, usually themselves colourless salts, but having the property of combining with acids to form colour bases or dyes.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
13,murphy_0013,actias,,,,,,"a genus of silk moths found in india, producing a silk unreliable in colour, but otherwise useful ; the best known is named actias selene.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
14,murphy_0014,adjective dyes,,,,,,"colouring substances attached to fibres by mordants, and changing in character with the kind of mordant.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
15,murphy_0015,agave,,,,,,"the fibre derived from the american aloe, which has been found useful in rope and twine manufacture.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
16,murphy_0016,ageing,,,,,,"the process of oxidizing the bleaching agent in the cloths, which are taken from the chlorine bath and left lying exposed to the air. the term is used generally to denote oxidizing by exposure to the air.",textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
17,murphy_0017,ailanthus,,,,,,"the name given to a kind of silkworm, attacus cynthia, because it feeds on the ailanthus glandulosa, a. tree grown in italy and france.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
18,murphy_0018,alencon,,,,,,"point d'alencon; a guipure or point lace, composed of simple stitches, the loops being linked into each other over groups of transverse threads, but capable of being wrought into forms of remarkable beauty and intricacy.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
19,murphy_0019,algin,,,,,,"extract of marine plants of the zostera genus, employed in the dressing and finishing of fabrics.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
20,murphy_0020,alizarin,,,,,,"the colouring principle of madder, artificially obtained by converting anthracene through a process of oxidization and treatment with sulphuric acid. there is a large class of alizarine colours.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
21,murphy_0021,alkali,,,,,,"a base capable of forming salts and having the power of changing blue vegetable matter to green. soda, potash, and ammonia are the alkalis.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
22,murphy_0022,alpaca,,,,,,"the auchenia paco of zoology, and generally known as a species of llama domesticated in peru, possessing a long, silky fleece; the long, silky wool of the alpaca; the fine, lustrous cloth woven with yarns spun from alpaca wool ; the fine worsted or union cloths iniitating alpaca.",textile fibre,textile fabric,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
23,murphy_0023,alum,,,,,,"a complex salt, the base of which is alumina. the form used by finishers and dyers is the double sulphate of aluminium and ammonia.",textile manufacturing chemical,textile dye,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
24,murphy_0024,aluming,,,,,,treating cloths to be dyed with acetate of alumina as a mordant.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
25,murphy_0025,ammonia,,,,,,"the hydroxide of ammonia, obtained as a by-product in gas-making.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
26,murphy_0026,ammonium carbonate,,,,,,a compound of ammonia sometimes used as a wool-scouring agent.,textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
27,murphy_0027,amylum,,,,,,the principle of starch.,textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
28,murphy_0028,angle,,,,,,the slant of a twill.,textile weave,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
29,murphy_0029,angle-stripper,,,,,,a carding roller which draws the wool from the licker-in and transfers it to the cylinder of the scribbler.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
30,murphy_0030,angora,,,,,,"the goat reared originally in the vilayet of angora, in asia minor, but now bred in cape colony and elsewhere, valued for its long, silky wool ; the wool of the angora, otherwise called mohair.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
31,murphy_0031,aniline,,,,,,the basis of many dyes derived from coal tar. aniline itself is a colourless oil prepared from benzene ; it unites with acids to form colour salts.,textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
32,murphy_0032,annatto,,,,,,"the reddish dye obtained from the pulp enveloping the seeds of the annattu tree, native to tropical america; it is variously named arnotto, arnatto, annotto, &c.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
33,murphy_0033,anthracene,,,,,,"the green grease obtained from the third distillate of coal tar, which is the base of alizarine colours.",textile manufacturing chemical,textile dye,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
34,murphy_0034,anti-ballooning,,,,,,appliances acting so as to prevent the yarn flying out between the front drawing rollers and the bobbins on spinning frames.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
35,murphy_0035,anti-friction bowls,,,,,,small rollers fitted into levers on many textile machines to reduce friction.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
36,murphy_0036,argali,,,,,,"the gigantic siberian wild sheep, capable of domestication, and yielding a fine, hairy wool.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
37,murphy_0037,armozeen,,,,,,"a stout black silk, used chiefly for hatbands.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
38,murphy_0038,artificial silk,,,,,,"a substitute for natural silk, obtained by treating cellulose, obtained from any source, usually cotton waste or wood pulp, by various processes, the chief object of which is to impregnate the cellulose with nitrogen.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
39,murphy_0039,art square,,,,,,a tapestry or scotch carpet woven in one piece to form a square in the centre of a room.,textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
40,murphy_0040,asbestos,,,,,,"a fibrous mineral allied to hornblende, and closely resembling flax in appearance ; valued because of its incombustible quality.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
41,murphy_0041,assouplage,,,,,,the french term for the process by which souple silk is produced.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
42,murphy_0042,astrakhan,,,,,,a warp-pile worsted fabric woven in imitation of the curling wool of the astrakhan sheep.,textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
43,murphy_0043,astringents,,,,,,"various kinds of tannic acids, used as agents in dyeing textile fibres.",textile manufacturing chemical,textile dye,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
44,murphy_0044,atlas,,,,,,"a rich silk fabric woven in india ; the attacus atlas, the largest of silk moths, producing a silk of great strength and weight.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
45,murphy_0045,attacus,,,,,,"a genus of silk moths, formerly regarded as a class of wild silks ; the genus includes the a. ricini, or eria, a. cynthia, or ailanthus, a. atlas, and a, selene, axminster, the knotted pile carpet of british make, tufted by hand and woven on the hand loom.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
46,murphy_0046,axminster,,,,,,,textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
47,murphy_0047,azo dyes,,,,,,"colours derived from naphthalene, the second distillate of coal tar.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
48,murphy_0048,back,,,,,,the under side of a faced or double cloth.,textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
49,murphy_0049,backed cloths,,,,,,"cloths which are made thick by extra weft, extra warp, or another ply of cloth, woven on the back.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
50,murphy_0050,backfilled r. finish,,,,,,a kind of cotton finishing.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
51,murphy_0051,backing,,,,,,the weft or warp employed in forming the back of a faced cloth.,textile fabric component,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
52,murphy_0052,backing-off,,,,,,uncoiling the slack yarn from the spindle on the mule spinning frame.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
53,murphy_0053,back roller,,,,,,that roller in a set of drawing rollers which first takes in the sliver or roving on drawing and spinning frames.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
54,murphy_0054,back stop-motion,,,,,,any one of the several appliances designed to stop the motion of a spinning or drawing frame when a fault occurs.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
55,murphy_0055,backwashing,,,,,,the operation of washing the wool after gilling and before combing.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
56,murphy_0056,bagging,,,,,,"coarse canvas cloth, made of jute.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
57,murphy_0057,baize,,,,,,"heavy woollen cloth woven with thick warp and weft and felted, usually green in colour.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
58,murphy_0058,bale,,,,,,a package of raw cotton. the size of the bale has not been standardized. american cotton bales average about 500 lb. in weigfht and 26 cubic feet in bulk ; brazilian and peruvian bales vary greatly both in vveigfht and size. also a package of cloth.,textile waste material,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
59,murphy_0059,bale-breaker,,,,,,a machine which breaks up the masses of pressed cotton taken from the bales.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
60,murphy_0060,ball,,,,,,"a bundle of fibre, sliver, yarn, or twine, made up in the form of a ball.",textile fabric component,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
61,murphy_0061,balling,,,,,,coiling warp sections into balls ; windings slivers of wool into balls for the french drawing frame; forming the finished twine into balls for commerce.,textile manufacturing process,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
62,murphy_0062,balling finisher,,,,,,a gilling frame in worsted manufacture fitted with an appliance for balling the slivers.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
63,murphy_0063,balling machines,,,,,,"slivers are balled on several machines, the main feature of which is the reciprocal action of the feed guide and the receiving; ball.",textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
64,murphy_0064,balloon,,,,,,"a cylindrical frame surrounded by steam pipes, for drying sized woollen warps.",textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
65,murphy_0065,ballooning,,,,,,the flight of the yarn between the front roller and the ring on the ring-spinning frame.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
66,murphy_0066,band,,,,,,the strong cord which connects the whorl of the spindle and the driving tin cylinder on the spinning frame.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
67,murphy_0067,bandanna,,,,,,a handkerchief of silk or cotton in which spots or figures are left white upon a red or blue ground.,textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
68,murphy_0068,bank,,,,,,the stand from which a yarn or strand is fed to a machine; a bobbin creel.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
69,murphy_0069,barbados cotton,,,,,,"the original name of american cottons, because introduced from the island of anguilla, in the barbados group.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
70,murphy_0070,barras,,,,,,"a coarse linen fabric, woven plain.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
71,murphy_0071,barrege,,,,,,"a strong gauze, originally woven of silk warp and wool weft ; as woven now the warp is generally cotton.",textile fabric,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
72,murphy_0072,barrel,,,,,,"the name of several cylindrical carriers of yarns, pattern chains, and bands, in textile machines.",textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
73,murphy_0073,bartrees,,,,,,the frame upon which the warp is wound in hand-warping-.,textile machinery,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
74,murphy_0074,barwood,,,,,,"a red dye obtained from the wood of the baphia nitida, a. tree native to sierra leone.",textile dye,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
75,murphy_0075,baryta,,,,,,"oxide of barium, the salts of which are employed in several ways, viz.: (i) barytes, the sulphate of the metal barium, g-round fine and treated with hydrochloric acid; (2) barium carbonate, a costly weig-hting material used by cotton finishers, obtained by precipitating barium chloride with carbonate of soda; (3) barium chloride, a colourless salt sometimes used as a filling-, but more commonly used for making barium carbonate; (4) barium chromate, sometimes employed as a yellow pigment by calico printers.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
